threshold,num_trades,total_return_pct,sharpe_ratio,max_drawdown_pct
0.25,11,-3.131152974147522,-36.8210644385786,-4.0326873507990895
0.26,11,-3.131152974147522,-36.8210644385786,-4.0326873507990895
0.27,11,-3.131152974147522,-36.8210644385786,-4.0326873507990895
0.28,9,-3.492552446140218,-61.180992713106065,-3.4925524461402166
0.29000000000000004,9,-3.492552446140218,-61.180992713106065,-3.4925524461402166
0.30000000000000004,9,-3.492552446140218,-61.180992713106065,-3.4925524461402166
0.31000000000000005,9,-3.492552446140218,-61.180992713106065,-3.4925524461402166
0.32000000000000006,9,-3.492552446140218,-61.180992713106065,-3.4925524461402166
0.33000000000000007,0,0.0,0.0,0.0
0.3400000000000001,0,0.0,0.0,0.0
